locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAHELFL_00001	rRNA	111				5S ribosomal RNA
LMAHELFL_00002	tRNA	77				tRNA-Asp(gtc)
LMAHELFL_00003	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
LMAHELFL_00004	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
LMAHELFL_00005	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
LMAHELFL_00006	CDS	801				hypothetical protein
LMAHELFL_00007	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
LMAHELFL_00008	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
LMAHELFL_00009	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
LMAHELFL_00010	CDS	723				hypothetical protein
LMAHELFL_00011	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
LMAHELFL_00012	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
LMAHELFL_00013	tRNA	77				tRNA-Asp(gtc)
LMAHELFL_00014	CDS	1056				hypothetical protein
LMAHELFL_00015	CDS	996				hypothetical protein
LMAHELFL_00016	CDS	1884				hypothetical protein
LMAHELFL_00017	CDS	495				hypothetical protein
LMAHELFL_00018	CDS	825				hypothetical protein
LMAHELFL_00019	CDS	903				hypothetical protein
LMAHELFL_00020	CDS	2640	clpV1		COG0542	Protein ClpV1
LMAHELFL_00021	CDS	543				hypothetical protein
LMAHELFL_00022	CDS	1509				hypothetical protein
LMAHELFL_00023	CDS	447				hypothetical protein
LMAHELFL_00024	CDS	486	hcp1_1		COG3157	Protein hcp1
LMAHELFL_00025	CDS	486				hypothetical protein
LMAHELFL_00026	CDS	333				hypothetical protein
LMAHELFL_00027	CDS	486	hcp1_2		COG3157	Protein hcp1
LMAHELFL_00028	CDS	537				hypothetical protein
LMAHELFL_00029	CDS	1344				hypothetical protein
LMAHELFL_00030	CDS	1305	pal_1			Peptidoglycan-associated lipoprotein
LMAHELFL_00031	CDS	774				hypothetical protein
LMAHELFL_00032	CDS	357				hypothetical protein
LMAHELFL_00033	CDS	3870				hypothetical protein
LMAHELFL_00034	CDS	768				hypothetical protein
LMAHELFL_00035	CDS	471				hypothetical protein
LMAHELFL_00036	CDS	462				hypothetical protein
LMAHELFL_00037	CDS	387				hypothetical protein
LMAHELFL_00038	CDS	519				hypothetical protein
LMAHELFL_00039	CDS	2190				hypothetical protein
LMAHELFL_00040	CDS	447				hypothetical protein
LMAHELFL_00041	CDS	4080	rhsA	3.1.-.-	COG3209	putative deoxyribonuclease RhsA
LMAHELFL_00042	CDS	447				hypothetical protein
LMAHELFL_00043	CDS	411				hypothetical protein
LMAHELFL_00044	CDS	276	symE_1	3.1.-.-		Endoribonuclease SymE
LMAHELFL_00045	CDS	222				hypothetical protein
LMAHELFL_00046	CDS	279				IS3 family transposase IS1351
LMAHELFL_00047	CDS	132				hypothetical protein
LMAHELFL_00048	CDS	498				hypothetical protein
LMAHELFL_00049	CDS	738	caf1M		COG3121	Chaperone protein caf1M
LMAHELFL_00050	CDS	2511	caf1A		COG3188	F1 capsule-anchoring protein
LMAHELFL_00051	CDS	471	afaD			Protein AfaD
LMAHELFL_00052	CDS	807	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
LMAHELFL_00053	CDS	624				hypothetical protein
LMAHELFL_00054	CDS	948	dmlR_2			HTH-type transcriptional regulator DmlR
LMAHELFL_00055	CDS	720	pagN		COG3637	Outer membrane protein PagN
LMAHELFL_00056	CDS	408				hypothetical protein
LMAHELFL_00057	CDS	768	yafV	3.5.1.3		Omega-amidase YafV
LMAHELFL_00058	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
LMAHELFL_00059	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
LMAHELFL_00060	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
LMAHELFL_00061	CDS	741				hypothetical protein
LMAHELFL_00062	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
LMAHELFL_00063	CDS	1140	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
LMAHELFL_00064	CDS	615	prfB_1		COG1186	Peptide chain release factor RF2
LMAHELFL_00065	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
LMAHELFL_00066	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
LMAHELFL_00067	CDS	1245				hypothetical protein
LMAHELFL_00068	CDS	402	crl			Sigma factor-binding protein Crl
LMAHELFL_00069	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
LMAHELFL_00070	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
LMAHELFL_00071	CDS	1251	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
LMAHELFL_00072	tRNA	76				tRNA-Thr(cgt)
LMAHELFL_00073	CDS	1191	intS		COG0582	Prophage integrase IntS
LMAHELFL_00074	CDS	825				hypothetical protein
LMAHELFL_00075	CDS	300				hypothetical protein
LMAHELFL_00076	CDS	177				hypothetical protein
LMAHELFL_00077	CDS	360				hypothetical protein
LMAHELFL_00078	CDS	285				hypothetical protein
LMAHELFL_00079	CDS	384				hypothetical protein
LMAHELFL_00080	CDS	2673				hypothetical protein
LMAHELFL_00081	CDS	762				hypothetical protein
LMAHELFL_00082	CDS	273				hypothetical protein
LMAHELFL_00083	CDS	1278				hypothetical protein
LMAHELFL_00084	CDS	2019				hypothetical protein
LMAHELFL_00085	CDS	402				hypothetical protein
LMAHELFL_00086	CDS	414				hypothetical protein
LMAHELFL_00087	CDS	369	ddrA_1			Diol dehydratase-reactivating factor alpha subunit
LMAHELFL_00088	CDS	129	ddrA_2			Diol dehydratase-reactivating factor alpha subunit
LMAHELFL_00089	CDS	300				hypothetical protein
LMAHELFL_00090	CDS	1233	ynfM_1			Inner membrane transport protein YnfM
LMAHELFL_00091	CDS	1422	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
LMAHELFL_00092	CDS	627	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
LMAHELFL_00093	CDS	879				hypothetical protein
LMAHELFL_00094	CDS	915	dehH1	3.8.1.3		Haloacetate dehalogenase H-1
LMAHELFL_00095	CDS	966	dmlR_3			HTH-type transcriptional regulator DmlR
LMAHELFL_00096	CDS	273				hypothetical protein
LMAHELFL_00097	CDS	399				hypothetical protein
LMAHELFL_00098	CDS	759	yadV_1			putative fimbrial chaperone YadV
LMAHELFL_00099	CDS	1326				hypothetical protein
LMAHELFL_00100	CDS	2562	fimD_1		COG3188	Outer membrane usher protein FimD
LMAHELFL_00101	CDS	762	yadV_2			putative fimbrial chaperone YadV
LMAHELFL_00102	CDS	537	sfaA			S-fimbrial protein subunit SfaA
LMAHELFL_00103	CDS	735				hypothetical protein
LMAHELFL_00104	CDS	501				hypothetical protein
LMAHELFL_00105	CDS	1575	pdeN_1	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
LMAHELFL_00106	CDS	744				hypothetical protein
LMAHELFL_00107	CDS	489				hypothetical protein
LMAHELFL_00108	CDS	525	ail_1		COG3637	Attachment invasion locus protein
LMAHELFL_00109	CDS	528				hypothetical protein
LMAHELFL_00110	CDS	360				hypothetical protein
LMAHELFL_00111	CDS	1458	oprM		COG1538	Outer membrane protein OprM
LMAHELFL_00112	CDS	3168	oqxB15			multidrug efflux RND transporter permease subunit OqxB15
LMAHELFL_00113	CDS	1227	bepF			Efflux pump periplasmic linker BepF
LMAHELFL_00114	CDS	2289	actP_1	7.2.2.9		Copper-transporting P-type ATPase
LMAHELFL_00115	CDS	465	hmrR			HTH-type transcriptional regulator HmrR
LMAHELFL_00116	CDS	195				hypothetical protein
LMAHELFL_00117	CDS	114				hypothetical protein
LMAHELFL_00118	CDS	1254	yjhB_1			Putative metabolite transport protein YjhB
LMAHELFL_00119	CDS	1959				hypothetical protein
LMAHELFL_00120	CDS	2973				hypothetical protein
LMAHELFL_00121	CDS	102				hypothetical protein
LMAHELFL_00122	CDS	1404				hypothetical protein
LMAHELFL_00123	CDS	1011	appB_1	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
LMAHELFL_00124	CDS	132				hypothetical protein
LMAHELFL_00125	CDS	1005	rhaR_1			HTH-type transcriptional activator RhaR
LMAHELFL_00126	CDS	2091	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
LMAHELFL_00127	CDS	633	rhtC_1		COG1280	Threonine efflux protein
LMAHELFL_00128	CDS	276				hypothetical protein
LMAHELFL_00129	CDS	1626	prpR		COG1221	Propionate catabolism operon regulatory protein
LMAHELFL_00130	CDS	888	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
LMAHELFL_00131	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
LMAHELFL_00132	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
LMAHELFL_00133	CDS	1887	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
LMAHELFL_00134	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
LMAHELFL_00135	CDS	3012				hypothetical protein
LMAHELFL_00136	CDS	624	iprA_1			Inhibitor of hydrogen peroxide resistance
LMAHELFL_00137	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
LMAHELFL_00138	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
LMAHELFL_00139	CDS	1095				hypothetical protein
